statecode,year,name,value
Texas,2006,Jose,2657
Texas,2007,Jose,2581
Texas,2008,Jose,2357
Texas,2009,Jose,2264
Texas,2010,Jacob,2273
Texas,2011,Jacob,2045
Texas,2012,Jacob,1949
Texas,2013,Jacob,1972
Texas,2014,Noah,2080
Texas,2015,Noah,2147
Utah,2005,Jacob,323
Utah,2006,Ethan,352
Utah,2007,Ethan,349
Utah,2008,Ethan,306
Utah,2009,Ethan,288
Utah,2010,William,264
Utah,2011,Mason,274
Utah,2012,William,281
Utah,2013,William,275
Utah,2014,William,285
Utah,2015,William,309
Virginia,2005,William,746
Virginia,2006,William,666
Virginia,2007,William,692
Virginia,2008,William,679
Virginia,2009,William,603
Virginia,2010,William,621
Virginia,2011,William,588
Virginia,2012,William,647
Virginia,2013,William,598
Virginia,2014,William,594
Virginia,2015,William,549
Vermont,2005,Jacob,63
Vermont,2006,Jacob,56
Vermont,2007,Logan,50
Vermont,2008,Jacob,45
Vermont,2009,Noah,46
Vermont,2010,Logan,43
Vermont,2011,Liam,41
Vermont,2012,Mason,43
Vermont,2013,Mason,43
Vermont,2014,Liam,47
Vermont,2015,Liam,40
Washington,2005,Jacob,483
Washington,2006,Jacob,494
Washington,2007,Jacob,507
Washington,2008,Ethan,464
Washington,2009,Alexander,446
Washington,2010,Jacob,414
Washington,2011,Mason,447
Washington,2012,Mason,413
Washington,2013,Liam,464
Washington,2014,Liam,407
Washington,2015,Oliver,397
Wisconsin,2005,Ethan,489
Wisconsin,2006,Ethan,476
Wisconsin,2007,Ethan,436
Wisconsin,2008,Ethan,429
Wisconsin,2009,Ethan,371
Wisconsin,2010,Mason,448
Wisconsin,2011,Mason,512
Wisconsin,2012,Mason,430
Wisconsin,2013,Liam,396
Wisconsin,2014,Mason,386
Wisconsin,2015,Oliver,305
West Virginia,2005,Jacob,243
West Virginia,2006,Jacob,199
West Virginia,2007,Jacob,203
West Virginia,2008,Jacob,175
West Virginia,2009,Jacob,157
West Virginia,2010,Jacob,169
West Virginia,2011,Mason,160
West Virginia,2012,Mason,157
West Virginia,2013,Mason,150
West Virginia,2014,Mason,129
West Virginia,2015,Noah,137
Wyoming,2005,Jacob,41
Wyoming,2006,Ethan,44
Wyoming,2007,James,38
Wyoming,2008,James,41
Wyoming,2009,Wyatt,42
Wyoming,2010,James,36
Wyoming,2011,William,32
Wyoming,2012,Liam,41
Wyoming,2013,Liam,33
Wyoming,2014,Jackson,34
Wyoming,2015,Liam,38
